Title,GenreID,Runtime,IMDBScore,Language,Premiere_Date
When We First Met,G17,97,6.4,English,09-02-2018
A 3 Minute Hug,G1,28,6.5,English,28-10-2019
All the Bright Places,G10,108,6.5,English,28-02-2020
All Together Now,G7,93,6.5,English,28-08-2020
Altered Carbon: Resleeved,G11,74,6.5,Japanese,19-03-2020
Antoine Griezmann: The Making of a Legend,G1,60,6.5,French,21-03-2019
Canvas,G11,9,6.5,English,11-12-2020
Chadwick Boseman: Portrait of an Artist,G1,21,6.5,English,17-04-2021
Chopsticks,G6,100,6.5,Hindi,31-05-2019
Da 5 Bloods,G7,155,6.5,English,12-06-2020
Dolly Parton: A MusiCares Tribute,G1,55,6.5,English,07-04-2021
Eurovision Song Contest: The Story of Fire Saga,G8,123,6.5,English,26-06-2020
Gerald's Game,G9,103,6.5,English,29-09-2017
His House,G2,93,6.5,English,30-10-2020
Jingle Jangle: A Christmas Journey,G8,119,6.5,English,13-11-2020
Life Overtakes Me,G1,40,6.5,English,14-06-2019
Lust Stories,G7,120,6.5,Hindi,15-06-2018
Monster,G7,98,6.5,English,07-05-2021
Mowgli: Legend of the Jungle,G5,104,6.5,English,07-12-2018
Nobody Knows I'm Here,G7,91,6.5,Spanish,24-06-2020
Nobody Speak: Trials of the Free Press,G1,95,6.5,English,23-06-2017
Oxygen,G3,101,6.5,French,12-05-2021
Set It Up,G17,105,6.5,English,15-06-2018
The Incredible Jessica James,G6,83,6.5,English,28-07-2017
Tigertail,G7,91,6.5,English,10-04-2020
Tramps,G10,83,6.5,English,21-04-2017
What Did Jack Do?,G7,17,6.5,English,20-01-2020
Bad Trip,G6,86,6.6,English,26-03-2021
Bird Box,G2,124,6.6,English,21-12-2018
Bulbbul,G9,94,6.6,Hindi,24-06-2020
Crazy About Her,G17,102,6.6,Spanish,26-02-2021
Elisa & Marcela,G10,118,6.6,Spanish,07-06-2019
I'll Sleep When I'm Dead,G1,79,6.6,English,19-08-2016
I'm Thinking of Ending Things,G2,134,6.6,English,04-09-2020
It Takes a Lunatic,G1,126,6.6,English,25-10-2019
Milestone,G7,98,6.6,Hindi,07-05-2021
Recovery Boys,G1,89,6.6,English,29-06-2018
ReMastered: Who Killed Jam Master Jay?,G1,58,6.6,English,07-12-2018
Shawn Mendes: In Wonder,G1,83,6.6,English,23-11-2020
Space Sweepers,G3,136,6.6,Korean,05-02-2021
The American Meme,G1,98,6.6,English,07-12-2018
The Angel,G2,114,6.6,English,14-09-2018
The Crimes That Bind,G7,99,6.6,Spanish,20-08-2020
The Red Sea Diving Resort,G2,130,6.6,English,31-07-2019
What Would Sophia Loren Do?,G1,32,6.6,English,15-01-2021
A Whisker Away,G11,104,6.7,Japanese,18-06-2020
Ajeeb Daastaans,G7,142,6.7,Hindi,16-04-2021
Arlo the Alligator Boy,G11,92,6.7,English,16-04-2021
"Bikram: Yogi, Guru, Predator",G1,86,6.7,English,20-11-2019
Blame!,G11,106,6.7,Japanese,20-05-2017
Blue Miracle,G7,95,6.7,English,27-05-2021
CounterPunch,G1,91,6.7,English,16-06-2017
"Crack: Cocaine, Corruption & Conspiracy",G1,89,6.7,English,11-01-2021
Extraction,G5,117,6.7,English,24-04-2020
Giving Voice,G1,90,6.7,English,11-12-2020
Hillbilly Elegy,G7,117,6.7,English,24-11-2020
Hope Frozen: A Quest to Live Twice,G1,80,6.7,English,15-09-2020
Imperial Dreams,G7,87,6.7,English,03-02-2017
Just Another Christmas,G6,101,6.7,Portuguese,03-12-2020
Little Miss Sumo,G1,19,6.7,Japanese,28-10-2019
Malcolm & Marie,G10,106,6.7,English,05-02-2021
"Michael Bolton's Big, Sexy, Valentine's Day Special",G18,54,6.7,English,07-02-2017
Moxie,G7,111,6.7,English,03-03-2021
Night in Paradise,G7,132,6.7,Korean,09-04-2021
Paper Lives,G7,97,6.7,Turkish,12-03-2021
Parchis: The Documentary,G1,106,6.7,Spanish,10-07-2019
Tallulah,G6,111,6.7,English,29-07-2016
The Old Guard,G5,124,6.7,English,10-07-2020
Tony Robbins: I Am Not Your Guru,G1,116,6.7,English,15-07-2016
Upstarts,G7,112,6.7,Hindi,18-10-2019
22-Jul,G7,144,6.8,English,10-10-2018
7 años,G7,76,6.8,Spanish,28-10-2016
A Futile and Stupid Gesture,G15,101,6.8,English,26-01-2018
A Life of Speed: The Juan Manuel Fangio Story,G1,92,6.8,Spanish,20-03-2020
A Love Song for Latasha,G1,19,6.8,English,21-09-2020
All in My Family,G1,39,6.8,English,03-05-2019
Always Be My Maybe,G17,102,6.8,English,31-05-2019
Becoming,G1,89,6.8,English,06-05-2020
Brij Mohan Amar Rahe,G6,105,6.8,Hindi,03-08-2018
Calibre,G2,101,6.8,English,29-06-2018
Death to 2020,G6,70,6.8,English,27-12-2020
GIMS: On the Record,G1,96,6.8,French,17-09-2020
Have a Good Trip: Adventures in Psychedelics,G1,85,6.8,English,11-05-2020
Heroin(e),G1,39,6.8,English,12-09-2017
Mercury 13,G1,79,6.8,English,20-04-2018
Saving Capitalism,G1,73,6.8,English,21-11-2017
